
<BR /><BR /><FONT COLOR='#ffffff'>Last updated: 2014-08-19 21:50:39</font><p><a href="?action=&regatta=1495&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Foreløpige resultater
NOR rating f.o.m. 0,975
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Poeng;Håøya Rundt
1;NOR-11405;Tempo;Joakim Bruksås;;Hurum Seilforening;First 36,7;0,9780;1;1
2;NOR-15159;Karma Police;Øystein Misje;;Holmestrand Seilforening;Shaw 9;1,166;2;2
3;NOR-10240;Fritt Fram!;Audun Gjøstein;;Asker Seilforening;First 40.7;1,0320;3;3
4;NOR-10501;NEWCY BROWN II;John Øivind Saxebøl;;Drøbaksund Seilforening;Dufour 40;1,0110;4;4
5;NOR-3288;Angelique;Tom Olsen;;Frognerkilen Seilforening Av 1860;Archambault 31;0,9750;5;5
6;NOR-12046;Lex;Erling Høyte;;Drøbaksund Seilforening;X-46;1,103;6;6
7;NOR-11800;Vento;Ole Johan Kvan;;Drammens Seilforening;Grand Soleil 37;0,987;7;7
8;NOR-14438;Momentum;Harald Klæboe;;Drøbaksund Seilforening;Elan 350;1,0250;;DNF (9)
NOR rating t.o.m. 0,974
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Poeng;Håøya Rundt
1;NOR-10455;Frøkna;Anne Heldal;;Røyken Seilforening;Hansson 31;0,910;1;1
2;NOR-6807;Aphromann;Daniel Ingebretsen;;Hurum Seilforening;Aphrodite 101;0,874;2;2
3;NOR-9660;Andante;Terje Hall Torgersen;;Bundefjorden Seilforening;X-332;0,9510;3;3
4;NOR-13975;Sparkling girl;harald walder;;Bærum Seilforening;Archambault 31;0,9720;4;4
5;NOR-10629;Sinbad;Bjørn Hansen;;Bærum Seilforening;Impala 31;0,9090;5;5
6;NOR-804;Kuling;Morten Ebbell Hestnes;;Bundefjorden Seilforening;Melges 24;0,9730;6;6
7;NOR-306;Melges 24/7 Sailing Team;Steinar Waler;;Røyken Seilforening;Melges 24;0,9730;7;7
8;NOR-10203;Jakobine;Yngve Lønmo;;Hurum Seilforening;J/92;0,9390;8;8
9;NOR-723;Liffe;Leif Evensen;;Drøbaksund Seilforening;Albin Express;0,8410;9;9
10;NOR-146;Spjutet;Asbjørn Aas;;Bundefjorden Seilforening;Express;0,841;10;10
11;NOR-14131;Marialene 2;Steinar Jørgensen;;Drøbaksund Seilforening;Hanse 370;0,9730;11;11
12;NOR-8;Eight Train;Olav Drag;;Drøbaksund Seilforening;Albin Express;0,8410;12;12
13;NOR-11789;Siahgahay;DAG BJØRNSEN;;Nesodden Seilforening;sun fast 36;0,9520;13;13
14;NOR-5011;Aiolos;Arne Bratlie;;Hurum Seilforening;Comfortina 32;0,8740;14;14
15;NOR-10990;Hårek;erik kverum;;Hurum Seilforening;First 31.7;0,9190;15;15
16;NOR-13702;smoke on the water;Ståle Kristiansen;;Hurum Seilforening;Bavaria 37 Cr;0,8820;16;16
17;NOR-9963;Offshore;ARNE VALEN;;Hurum Seilforening;8 m;0,7250;;DNF (19)
17;NOR-8693;Premier Cru;Tom Hovde;;Hurum Seilforening;Carrera Helmsman;0,9600;;DNC (19)
