
<BR /><BR /><FONT COLOR='#ffffff'>Last updated: 2014-09-16 18:56:30</font><p><a href="?action=&regatta=1674&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Foreløpige resultater
NOR-Rating med spinnaker
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Reell;Korrigert
1;NOR-10901;Betty Boop;Morten Christensen;;Skøyen Seilforening;Bavaria 35 Match;0,9960;4:20:01;4:18:59
2;NOR-11400;X´est La Vie;Ketil Fridheim;;Kongelig Norsk Seilforening;X-40;1,0270;4:17:56;4:24:54
3;NOR-14152;Sagitta 5;Tore Stønjum;;Bundefjorden Seilforening;Elan 310;0,9400;4:47:33;4:30:18
4;NOR-14628;Vindfang;Tormod S. Petersen;;Nesodden Seilforening;HP1030;1,0370;4:23:14;4:32:58
5;NOR-12502;Braveheart;KIM KNUDSEN;;Kongelig Norsk Seilforening;IMX-38;1,0060;4:35:24;4:37:03
6;NOR-9555;SNEHVIT;ARILD BERG;;Bærum Seilforening;N-Yachts 41;1,0183;4:40:08;4:45:16
7;NOR-19;Bilbo;Andreas Wettre;;Bundefjorden Seilforening;X-35;1,0130;DNF;
7;NOR-11534;Larsson;Stig E Andresen;;Oppegård Seilforening;Dehler 34;0,9740;DNF;
7;NOR-7006;luringen;tommy bergman;;Asker Seilforening;finngulf39;0,9870;DNF;
7;NOR-10695;Malabala;Christian Husvik;;Bundefjorden Seilforening;Cafe 30;0,9240;DNF;
7;NOR-13975;Sparkling girl;Harald Walder;;Bærum Seilforening;Archambault 31;0,9720;DNF;
7;NOR-317;The White Rabbit;Johnny Hjerpseth;;Røyken Seilforening;11 Meter;1,0260;DNF;
NOR-Rating Shorthanded
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Reell;Korrigert
3;NOR-5785;Coxcomb;Lasse Karstensen;;Bærum Seilforening;X-79;0,8690;DNF;
3;NOR-11620;MetaXa;JON VENDELBOE;;Ullern Seilforening;X-37;0,9900;DNF;
3;NOR-9899;Xotic;Endre Marken;;Bærum Seilforening;X-332;0,9490;DNF;
NOR-Rating uten spinnaker
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Reell;Korrigert
1;NOR-14747;TINKA;Magne K Fagerhol;;Kongelig Norsk Seilforening;Sun Odyssey 509;1,0620;4:50:28;5:08:29
