
<BR /><BR /><FONT COLOR='#ffffff'>Last updated: 2015-05-28 21:46:18</font><p><a href="?action=&regatta=1871&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Foreløpige resultater
Liten
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Race 1
1;NOR-9660;Andante;Terje Hall Torgersen;Bundefjorden Seilforening;X-332;0,9500;1;1
2;NOR-9282;Xred Dingo;Øyvind Degnes;Nesodden Seilforening;X-342;0,9290;2;2
3;NOR-6807;Aphroman;Daniel ingebretsen;Hurum Seilforening;Aphrodite 101;0,890;3;3
4;NOR-7626;Skumpa;Thomas Sund;Hurum Seilforening;Dehler 34 optima;0,889;4;4
5;NOR-13897;Lobo;Arne Bratlie;Hurum Seilforening;Hanse 371;0,9680;5;5
6;NOR-11285;Tusså;Frank Sandberg;Drøbaksund Seilforening;Sun Fast 35;0,9460;6;6
7;NOR-14035;Delan;Knut Andreas Selliken;Drøbaksund Seilforening;Elan 310;0,9330;;DNF (8)
Stor
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Race 1
1;NOR-14635;First Spirit;Trond Ørjan Olsen;Soon Seilforening;First 40.7;1,0300;1;1
2;NOR-14438;Momentum;Harald Klæboe;Drøbaksund Seilforening;Elan 350;1,0276;2;2
3;NOR-10314;Tiffin;Martin Lund Pedersen;Hurum Seilforening;Arcona 400;1,0259;3;3
4;NOR-15283;Framtia;Kjetil Tørseth;Hurum Seilforening;XP-44;1,0980;4;4
5;NOR-14927;TAMARA;Lars-Fredrik Moe-Helgesen;Drøbaksund Seilforening;Jeanneau 439;1,0342;5;5
