
<BR /><BR /><FONT COLOR='#ffffff'>Last updated: 2015-05-30 18:42:03</font><p><a href="?action=&regatta=1942&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Endelige resultater
Doublehanded Fredag
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Fredag
1;NOR-13573;Amarone;Geir Melby;Asker Seilforening;Elan 340;0,9390;1;1
2;NOR-7006;Luringen;Tommy Bergman;Asker Seilforening;Finngulf 39;0,9780;2;2
3;NOR-9844;Geirsha;Stig Mathiassen;Ullern Seilforening;First 31.7;0,9070;3;3
4;NOR-10760;Naomi;Ole Gunnar Tveiten;Asker Seilforening;Jeanneau Sun Fast 35;0,9400;4;4
5;NOR-11733;Mairi Bhan II;Kai Erlend Aas;Asker Seilforening;Elan 40;0,9970;5;5
6;NOR-14746;Concentus;Petter Kjellevold;Asker Seilforening;Bavaria 36;0,9220;6;6
7;NOR-10240;Fritt Fram!;Audun Gjøstein;Asker Seilforening;First 40.7;1,0180;;DNF (8)
Doublehanded Fredag og LÃ¸rdag Rating < 0,98
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Fredag;Lørdag
1;NOR-11110;Lupona;wolfgang eichstetter;Asker Seilforening;Kron;0,8850;2;1;1
2;NOR-4254;Supernova;Eira Naustvik;Asker Seilforening;Albin Nova;0,8800;4;2;2
3;NOR-14994;Sea Tune;Geir Lerkerød;Frognerkilen Seilforening Av 1860;Seascape 27;0,9670;9;6;3
4;NOR-11605;Sirkus;Finn Thon;Bærum Seilforening;Bavaria 36;0,9260;10;4;6
5;NOR-10083;Leken;Bjarne Birkeland;Bærum Seilforening;J/92;0,9280;12;8;4
6;NOR-14551;Luna;TROND MÅRVIK;Drøbaksund Seilforening;Hanse 355;0,9410;12;7;5
7;NOR-14731;Hazard C;Pål T. Christensen;Asker Seilforening;HOD 35;0,9470;15;3;DNS (12)
8;NOR-6366;Cilantra;Axel Nissen-Lie;Nesøya Seilforening;Twostar 36;0,9490;17;5;DNS (12)
9;NOR-7616;Coral;Alexander Jørgensen;Ullern Seilforening;Grand Soleil 46;0,9647;19;OCS (12);7
10;NOR-13624;xlent;Rune Skogen;Kongelig Norsk Seilforening;x-34;0,9480;24;DNS (12);DNS (12)
11;NOR-11328;IL TEMPORALE;Stein Thorstensen;Kongelig Norsk Seilforening;Sun Fast 32i;0,8930;24;OCS (12);DNS (12)
Doublehanded Fredag og LÃ¸rdag Rating >= 0.98
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Poeng;Fredag;Lørdag
1;NOR-11161;Eureka;Niclas Fure;Kongelig Norsk Seilforening;Elan 37;0,9810;3;2;1
2;NOR-13639;Godevenner;Elling Rishoff;Asker Seilforening;First 40;1,0520;3;1;2
3;NOR-21;Barcarole;Hans Skaar;Stord Seilforening;X 35;0,998;7;4;3
4;NOR-12645;Trollfjord;Svein Arild Hildrum;Asker Seilforening;Swedestar 370;0,9800;7;3;4
5;NOR-12212;SOLO;Rune Aasberg;Bundefjorden Seilforening;Express 40;1,1470;10;5;5
6;NOR-15333;toXifia;Kai Viksjø;Bærum Seilforening;Xp 33;0,9980;13;7;6
7;NOR-13040;Black Pearl;Sverre Marius Ellingsen;Kongelig Norsk Seilforening;Pogo 40;1,1440;15;8;7
8;NOR-14739;Deidres Samba IV;Steingrim Bersvendsen;Bærum Seilforening;Bavaria 40 Cruiser Sport;1,0040;17;6;DNS (11)
9;NOR-11565;escape;Lasse Bjerkestrand;Asker Seilforening;hanse 400;1,041;22;DNF (11);DNS (11)
10;NOR-10388;Jambo;Torgeir Sten Askvig;Asker Seilforening;J/109;0,9810;22;DNS (11);DNC (11)
