
NOR Rating - NOR Rating - Over 0,980
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Reell;Justert;Poeng;Race 1;
1;NOR-202;VORTEX;Martin Moe;Kongelig Norsk Seilforening;X-35;1,015;2:40:42;2:43:06;1;1;
2;USA-50390;PAKALOLO;Marius Andersen;Frognerkilen Seilforening Av 1860;Mumm 36;1,062;2:48:31;2:58:59;2;2;
3;NOR-11400;X´EST LA VIE;Ketil Fridheim;Kongelig Norsk Seilforening;X-40;1,030;2:59:13;3:04:35;3;3;
4;NOR-9340;LA STREGA BIANCA;Erling Sundronning;Kongelig Norsk Seilforening;BB 13,5;1,170;2:39:06;3:06:08;4;4;
5;NOR-14887;JUBEL;Jon Holm;Oslo Seilforening;J/109;0,998;3:10:17;3:09:54;5;5;
6;NOR-14660;TANGO;Marit Sletten;Nesodden Seilforening;Mumm36;1,049;3:01:16;3:10:08;6;6;
7;NOR-804;KULING;Morten Ebbell Hestnes;Bundefjorden Seilforening;Melges 24;0,992;3:33:53;3:32:10;7;7;
8;NOR-10901;BETTY BOOP;Morten Christensen;Skøyen Seilforening;Bavaria 35 Match;1,003;3:35:42;3:36:20;8;8;
9;NOR-9002;DREAMER;Rune H. Trondsen;Oslo Seilforening;Luffe 40MH;1,032;3:46:44;3:53:59;9;9;
NOR Rating - NOR Rating - Under 0,980
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Reell;Justert;Poeng;Race 1;
1;NOR-9660;ANDANTE;Terje Hall Torgersen;Bundefjorden Seilforening;X-332;0,949;3:19:36;3:09:25;1;1;
2;NOR- 101;EXCALIBUR;Christian Cook;Kongelig Norsk Seilforening;X-79;0,892;3:52:17;3:27:10;2;2;
3;NOR-917;SONS OF SPAREBANK1;Jon Sverre Høiden;Kongelig Norsk Seilforening;J-70;0,913;3:51:18;3:31:10;3;3;
4;NOR-5785;COXCOMB;Lasse Karstensen;Bundefjorden Seilforening;X-79;0,877;;DNF (6);
4;NOR-15005;KISMET JR;Erik Berg;Oslo Seilforening;Omega 30 A;0,783;;DNF (6);
