
NOR-rating fra og med 0,974
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Reell;Justert;Poeng;Race 1;
1;USA-50390;PAKALOLO;Marius Andersen;Frognerkilen Seilforening Av 1860;Mumm36;1,062;3:44:33;3:58:31;1;1;
2;NOR-11172;GRÅTASS;Bente Vikenes;Asker Seilforening;Grand Soleil 42R;1,109;3:40:22;4:04:23;2;2;
3;NOR-14635;FIRST SPIRIT;Trond Ørjan Olsen;Soon Seilforening;First 40.7;1,030;4:28:23;4:36:26;3;3;
4;NOR-14438;MOMENTUM;Harald Klæboe;Drøbaksund Seilforening;Elan 350;1,032;4:32:29;4:41:12;4;4;
5;NOR-15283;FRAMTIA;Kjetil Tørseth;Hurum Seilforening;XP-44;1,094;4:24:26;4:49:17;5;5;
6;NOR-8542;VELA FELICIA;Odd Aandal;Drøbaksund Seilforening;Dynamic 43;1,062;4:34:51;4:51:53;6;6;
7;NOR-14570;MARIALENE;Steinar Jørgensen;Drøbaksund Seilforening;Elan 350;1,031;;DNF (9);
7;NOR-12801;AMANDA;Stig Valderhaug;Drøbaksund Seilforening;Jeanneau SO 49 DS;1,049;;DNC (9);
NOR-rating til og med 0,973
Plass;Seilnr;Båt;Skipper;Forening;Båttype;HCP;Reell;Justert;Poeng;Race 1;
1;NOR-11285;TUSSÅ;Frank Sandberg;Drøbaksund Seilforening;Sun Fast 35;0,958;2:32:50;2:26:24;1;1;
2;NOR-14035;DELAN;Knut Selliken;Drøbaksund Seilforening;Elan 310;0,921;3:35:51;3:18:41;2;2;
3;NOR-15481;WILLA W;Bjørn Wilhelmsen;Drøbaksund Seilforening;Dufour 34;0,936;3:45:58;3:31:30;3;3;
4;NOR-14994;COOKIE MONSTER;Vilhelm Vardøy;Bundefjorden Seilforening;Seascape 27;0,970;;DNC (5);
