
Doublehanded Fredag og Lørdag rating < 0,99
Plass;Seilnr;Båt;Båttype;HCP;Poeng;Fredag;Lørdag;
1;NOR-10388;JAMBO;J/109;0,984;5;2;3;0;Torgeir Sten Askvig (Asker Seilforening
2;NOR-2908;FELICITY;Cumulus;0,830;6;5;1;0;Sigbjørn Aarak (Asker Seilforening
3;NOR-13724;VINDTORA;Pogo 8,50;0,909;8;6;2;0;Christian Stensholt (Frognerkilen Seilforening Av 1860
4;NOR-12645;TROLLFJORD;Swedestar 370;0,985;11;1;10;0;Svein Arild Hildrum (Asker Seilforening
5;NOR-11110;LUPONA;Kron;0,887;11;7;4;0;Wolfgang Eichstetter (Asker Seilforening
6;NOR-11956;MORILD;Elan 37;0,987;12;4;8;0;Olav Mork Bjørnås (Nesodden Seilforening
7;NOR-10083;LEKEN;J/92;0,932;15;9;6;0;Bjarne Birkeland (Bærum Seilforening
8;NOR-13975;SPARKLING GIRL;Archambault 31;0,959;17;3;DNF (14);0;HARALD WALDER (Bærum Seilforening
9;NOR-12392;RAGNHILD;First 31.7;0,914;17;10;7;0;Edvard Aspelund (Bundefjorden Seilforening
10;NOR-13573;AMARONE;Elan 340;0,940;17;8;9;0;Geir Melby (Asker Seilforening
11;NOR-11464;ELDORADO;X-37;0,979;19;DNS (14);5;0;Alf Magne Andersen (Nesodden Seilforening
12;NOR-11605;SIRKUS;Bavaria 36;0,929;22;11;11;0;Finn Thon (Bærum Seilforening
13;NOR-4960;MATHILDE;Albin Nova;0,884;28;DNS (14);DNS (14);0;Morten Sollerud (Asker Seilforening
Doublehanded Fredag og Lørdag rating ≥ 0,99
Plass;Seilnr;Båt;Båttype;HCP;Poeng;Fredag;Lørdag;
1;NOR-13639;GODEVENNER;First 40;1,056;4;1;3;0;Elling Rishoff (Asker Seilforening
2;NOR-160;POINT 2 POINT;11 Meter;0,999;6;5;1;0;Anders Larsson (Asker Seilforening
3;NOR-15333;TOXIFIA;Xp 33;1,001;6;4;2;0;Kai Viksjø (Bærum Seilforening
4;NOR-11541;JJ FLASH;J/109;0,993;8;3;5;0;Geir Inge Juriks (Kongelig Norsk Seilforening
5;NOR-11796;ROXY;x-46;1,081;9;2;7;0;Thomas Martinsen (Asker Seilforening
6;NOR-14777;HYAK;Elan 350;1,014;12;6;6;0;Pål Kragerud (Kongelig Norsk Seilforening
7;NOR-15036;KRAFTKAR;Elan 400S;1,069;13;9;4;0;Sigmund Andre Hertzberg (Bærum Seilforening
