
NOR Rating - NOR Rating - Over 0,980
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-804;KULING;Morten Ebbell Hestnes;Bundefjorden Seilforening;Melges 24;2:30:55;2:28:21;1;1;
2;NOR-15546;SHEN LONG;Ludvig Karlin;Bundefjorden Seilforening;Fareast 28r;2:28:04;2:33:14;2;2;
3;NOR-14887;JUBEL;Jon Holm;Oslo Seilforening;J/109;2:51:20;2:50:08;3;3;
4;NOR-15628;WILDA;Kristian Jerpetjøn;Nesodden Seilforening;SO 409 Performance;2:54:47;2:54:26;4;4;
5;NOR-12443;WHITE SHADOW FARMERS;Eirik Rosenberg;Bergens Seilforening;Landmark 43;2:39:04;2:59:06;5;5;
6;NOR-14660;TANGO;Egil Olsen;Nesodden Seilforening;Mumm36;2:55:02;3:04:29;6;6;
7;SWE-9995;MORRADI;Lars KVAKKESTAD;Kongelig Norsk Seilforening;Mumm 36;2:58:18;3:08:59;7;7;
NOR Rating - NOR Rating - Under 0,980
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-15005;KISMET JR;Erik Berg;Oslo Seilforening;Omega 30 A;2:59:35;2:20:26;1;1;
2;NOR-9660;ANDANTE;Terje Hall Torgersen;Bundefjorden Seilforening;X-332;2:37:42;2:29:39;2;2;
3;NOR-101;EXCALIBUR;Christian Cook;Kongelig Norsk Seilforening;X-79;2:56:33;2:37:27;3;3;
4;NOR-9775;BILBO;Jonas Smitt-Amundsen;Kongelig Norsk Seilforening;Beneteau First 31.7;2:55:27;2:42:28;4;4;
5;NOR-4254;SUPERNOVA;Eira Naustvik;Asker Seilforening;Albin Nova;;DNF (6);
