
NOR Rating - Baneseilas begge dager
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;Race 3;Race 4;Race 5;Race 6;
1;NOR-317;THE WHITE RABBIT;11:mod;11;2;2;2;2;Johnny Hjerpseth (Røyken Seilforening
2;NOR-26;PAKALOLO ||;Farr 30;14;6;4;2;8;Marius Andersen (Frognerkilen Seilforening Av 1860
3;NOR-15666;SONS OF HURRICANES;Sinergia 40;16;1;1;7;OCS (11);JON SVERRE HØIDEN (Bundefjorden Seilforening
4;NOR-9660;ANDANTE;X-332;20;4;6;4;4;Terje Hall Torgersen (Bundefjorden Seilforening
5;SWE-8790;CARBONCAVE;ILC 40;21;3;8;1;5;Per Asp (Nesodden Seilforening
6;NOR-11197;MULEN;First 36,7;21;5;6;6;1;Finn Gustav Skofteland (Bærum Seilforening
7;NOR-14628;VINDFANG;HP1030;29;9;3;8;3;Tormod S. Petersen (Nesodden Seilforening
8;NOR-493;MANI TO;Albin Express;31;7;5;5;6;Dag Tønder (Kongelig Norsk Seilforening
9;NOR-13990;WASABI;First 35;34;8;9;9;7;HENNING FØSKER (Nesodden Seilforening
10;NOR-13946;JUST 4 FUN;Salona 34;49;10;10;10;9;Christian Toverud (Bundefjorden Seilforening
NOR Rating - Distanseseilas begge dager
Plass;Seilnr;Båt;Båttype;Poeng;Race 1;Race 2;
1;NOR-13540;MAGIC;King 40;2;1;1;;;Kjetil Rekaa (Soon Seilforening
2;NOR-804;KULING;Melges 24;4;2;2;;;Morten Ebbell Hestnes (Bundefjorden Seilforening
3;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;8;3;5;;;Steinar Waler (Røyken Seilforening
4;NOR-11172;GRåTASS;Grand Soleil 42R;10;7;3;;;Bente Vikenes (Asker Seilforening
5;NOR-10044;WENDIGO 2;Dehleer 36 JV;11;4;7;;;Gunnar Gundersen (Kongelig Norsk Seilforening
6;NOR-14109;LITTLE WING;T-34;11;5;6;;;Kristian Heder (Asker Seilforening
7;NOR-145;KISMET;Knarr;15;11;4;;;Erik berg (Oslo Seilforening
8;NOR-9555;SNEHVIT;N-Yachts 41;16;6;10;;;ARILD BERG (Bærum Seilforening
