
NOR rating <=0,974
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-10203;JAKOBINE;J/92;3:45:30;3:25:39;1;1;Yngve Lønmo (Hurum Seilforening
2;NOR-9660;ANDANTE;X-332;4:07:02;3:54:26;2;2;Terje Hall Torgersen (Bundefjorden Seilforening
3;NOR-318;EASY RIDER;Albin Express;5:00:23;4:14:07;3;3;Arne Bratlie (Hurum Seilforening
4;NOR-200;MARGODAPHNE;IF;5:52:41;4:20:59;4;4;Margrete Helle (Hurum Seilforening
5;NOR-10701;OUT OF OFFICE;First 36.7;4:31:18;4:24:06;5;5;Geir Kristensen (Asker Seilforening
6;NOR-7626;SKUMPA;Dehler 34;5:00:12;4:24:46;6;6;Thomas Sund (Hurum Seilforening
7;NOR-11285;TUSSå;Sun Fast 35;4:53:52;4:35:56;7;7;Frank Sandberg (Drøbaksund Seilforening
8;NOR-2267;PLANB;Maxi 77;6:28:02;5:02:39;8;8;Trygve Olav Heidal (Hurum Seilforening
9;NOR-5952;EXCITER;Scanmar 33;5:51:12;5:08:48;9;9;Oddvar Eide (Hurum Seilforening
10;NOR-4727;BLåVALEN;Hunter Impala 28;6:13:47;5:17:11;10;10;ARNE VALEN (Hurum Seilforening
11;NOR-11328;IL TEMPORALE;Sun Fast 32;6:12:17;5:27:54;11;11;Mathias van der Harst (Hurum Seilforening
12;NOR-12566;RUFFEN;Hanse 400e;;DNF (15);;;Richard von Mansfeldt Asheim (Asker Seilforening
12;NOR-7027;THALINA;Contrast 36;;DNF (15);;;Endre Nordbø (Hurum Seilforening
12;NOR-4159;YODA;Scanmar 33;;DNF (15);;;David Skogan (Kongelig Norsk Seilforening
NOR rating >=0,975
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-15461;FLYING SCOTSMAN;Sun Fast 3600;4:48:30;4:51:57;1;1;Colin Campbell (Hurum Seilforening
2;NOR-14109;LITTLE WING;T-34;5:09:40;5:05:38;2;2;Kristian Heder (Asker Seilforening
3;NOR-15628;WILDA;SO 409 Performance;5:39:38;5:37:25;3;3;Kristian Jerpetjøn (Nesodden Seilforening
4;NOR-14570;MARIALENE;Elan 350;5:46:09;5:50:38;4;4;Steinar Jørgensen (Drøbaksund Seilforening
5;NOR-15125;LEX;xp38;;DNF (6);;;Erling Høyte (Drøbaksund Seilforening
