
NOR rating. Fullt mannskap
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-9660;ANDANTE;X-332;3:33:55;3:23:51;1;1;Terje Hall Torgersen (Bundefjorden Seilforening
2;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;3:39:21;3:37:25;2;2;Steinar Waler (Røyken Seilforening
3;NOR-7626;SKOMPA;Dehler34;4:06:36;3:37:30;3;3;Thomas Sund (Hurum Seilforening
4;NOR-608;(IT´S A) FAIRYTALE 2;J/80;3:53:33;3:38:37;4;4;Jan Sverre Reboli Paulsen (Kongelig Norsk Seilforening
5;NOR-517;TEMPO;J-80;4:02:55;3:45:43;5;5;Joakim Bruksås (Hurum Seilforening
6;NOR-5952;EXCITER;Scanmar 33;4:15:04;3:48:17;6;6;Oddvar Eide (Hurum Seilforening
7;NOR-10701;OUT OF OFFICE;First 36.7;3:52:00;3:50:08;7;7;Geir Kristensen (Asker Seilforening
8;NOR-7252;FIRST CHOICE;FIRST CLASS 8;4:11:59;3:51:19;8;8;Kristian Martnes (Hurum Seilforening
9;NOR-7027;THALINA;Contrast 36;4:08:22;3:52:28;9;9;ENDRE NORDBØ (Hurum Seilforening
10;NOR-6647;HYDRA;First Class 8;4:14:23;3:53:31;10;10;Harald Hauglin (Hurum Seilforening
11;NOR-200;MARGO DAPHNE;If;;DNS (12);;;Ove Jonsson (Hurum Seilforening
NOR rating. Shorthand
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Race 1;
1;NOR-10203;JAKOBINE;J/92;3:08:27;2:54:52;1;1;Yngve Lønmo (Hurum Seilforening
2;NOR-141;WII;Platu 25 OD;3:28:24;3:04:51;2;2;Ole Aabel (Asker Seilforening
3;NOR-10133;XBOX;IMX 40;3:05:14;3:13:34;3;3;Fredrik Holm (Kongelig Norsk Seilforening
4;NOR-10240;FRITT FRAM;First 40.7;3:10:48;3:16:54;4;4;Audun Gjøstein (Asker Seilforening
5;NOR-15461;FLYING SCOTSMAN;Sun Fast 3600;3:14:30;3:19:10;5;5;Colin Campbell (Hurum Seilforening
6;NOR-10901;BETTY BOOP;Bavaria 35 Match;3:25:07;3:26:20;6;6;Morten Christensen (Skøyen Seilforening
7;NOR-12784;BRIS;Arcona 370;3:29:02;3:29:39;7;7;RAGNAR ANDREASSEN (Bundefjorden Seilforening
8;NOR-10910;ILLE MORO;Bavaria 42 Match;3:22:37;3:33:09;8;8;Ludvig Daae (Bundefjorden Seilforening
9;NOR-57;TUT'N;Express;4:26:43;3:44:18;9;9;Per Lillelien (Hurum Seilforening
10;NOR-4727;BLåVALEN;Hunter Impala;4:26:24;3:47:14;10;10;Arne Valen (Hurum Seilforening
11;NOR-3571;NN;X-102;4:10:55;3:53:06;11;11;Birger Sevaldson (Tønsberg Seilforening
12;NOR-10990;HåREK;First 31.7;4:15:22;3:53:24;12;12;erik kverum (Hurum Seilforening
13;NOR-11285;TUSSå;Sun Fast 35;4:17:08;4:03:14;13;13;Frank Sandberg (Drøbaksund Seilforening
