NOR<=0,974
1;NOR-10203;Jakobine;Yngve LØNMO;Hurum Seilforening;J/92;0.925;1.0;1.0;1.0;
2;NOR-141;WII;Ole AABEL;Asker Seilforening;PLATU 25 MOD;0.879;2.0;2.0;2.0;
3;NOR-9660;Andante;Terje Hall TORGERSEN;Bundefjorden Seilforening;X-332;0.956;3.0;3.0;3.0;
4;NOR-190;Salacia;Marius BAKKE;Bundefjorden Seilforening;EXPRESS;0.851;4.0;4.0;4.0;
5;NOR-5975;Brunhildur;Sindre Bakke;Bundefjorden Seilforening;X-79;0.869;5.0;5.0;5.0;
6;NOR-14456;ROSA;Truls BERGER;Drøbaksund Seilforening;HR 342;0.895;6.0;6.0;6.0;
7;NOR-4658;Lady Stardust;Mikael KHEI;Sarpsborg Seilforening;ALBIN NOVA;0.882;7.0;7.0;7.0;
8;NOR-6938;Havheksen;Lars Christian BERGER;Drøbaksund Seilforening;MAXI 999;0.896;8.0;8.0;8.0;
9;NOR-14035;Selan;Knut SELLIKEN;Drøbaksund Seilforening;Elan 310;0.948;9.0;9.0;9.0;
NOR>=0,975
1;NOR-306;Melges 24/7 Sailing Team;Steinar WALER;Røyken Seilforening;Melges 24;0.936;1.0;1.0;1.0;
2;NOR-153;POC;Jan HAMMARSTRØM;Drøbaksund Seilforening;11:Metre;1.026;2.0;2.0;2.0;
3;NOR-11073;match35;Jan Ivar SYLTE;Drøbaksund Seilforening;Bavaria 35 Match;1.006;3.0;3.0;3.0;
4;NOR-14570;Marialene;Steinar JØRGENSEN;Drøbaksund Seilforening;Elan 350;1.024;4.0;4.0;4.0;
5;NOR-12538;MASITO;Eivind BAKKE;Bundefjorden Seilforening;Hanse 430;1.035;5.0;5.0;5.0;
6;NOR-14927;Tamara;Lars-Fredrik MOE-HELGESEN;Drøbaksund Seilforening;Sun OD 439;1.063;6.0;6.0;6.0;
7;NOR-27;hey hey may may;Kåre ANDERSSEN;Nesodden Seilforening;707;1.036;7.0;7.0;7.0;
