
NOR<=0,974
1;NOR-11285;Tusså;Sun Fast 35;Frank SANDBERG;Drøbaksund Seilforening;;;;;;
2;NOR-5952;Exciter;SCANMAR 33;Oddvar EIDE;Hurum Seilforening;;;;;;
3;NOR-14035;Selan;Elan 310;Knut SELLIKEN;Drøbaksund Seilforening;;;;;;
NOR>=0,975
1;NOR-26;PAKALOLO II;FARR 30;Marius ANDERSEN;Frognerkilen Seilforening. Av 1860;;;;;;
2;NOR-306;Melges 24/7 Sailing Team;MELGES 24 OD;Steinar WALER;Røyken Seilforening;;;;;;
3;NOR-15666;SONS OF HURRICANES;Sinergia 40;Jon Sverre HØIDEN;Kongelig Norsk Seilforening;;;;;;
4;NOR-14570;Marialene;Elan 350;Steinar JØRGENSEN;Drøbaksund Seilforening;;;;;;
5;NOR-11073;match35;Bavaria 35 Match;Jan Ivar SYLTE;Drøbaksund Seilforening;;;;;;
6;NOR-14927;Tamara;Sun OD 439;Lars-Fredrik MOE-HELGESEN;Drøbaksund Seilforening;;;;;;
