
NOR Rating (NOR Rating Doublehanded fredag og lørdag) Liten
Plass;Seilnr;Båt;Båttype;Poeng;Fredag;Lørdag;
1;NOR-10203;JAKOBINE;J/92;;;;;Yngve Lønmo (Hurum Seilforening
2;NOR-11956;MORILD;Elan 37;;;;;Olav Mork Bjørnås (Nesodden Seilforening
3;NOR-12784;BRIS;Arcona 370;;;;;RAGNAR ANDREASSEN (Bundefjorden Seilforening
4;NOR-141;WII;Platu25;;;;;Ole Aabel (Asker Seilforening
5;NOR-493;MANI TO;Albin Express;;;;;Dag Tønder (Kongelig Norsk Seilforening
6;NOR-13859;SIRKUS;Arcona 370;;;;;Finn Thon (Bærum Seilforening
7;NOR-11110;LUPONA;Kron;;;;;wolfgang eichstetter (Asker Seilforening
8;NOR-14784;KåRSTUA;Elan 310;;;;;Andreas Abildgaard (Kongelig Norsk Seilforening
9;NOR-28;HYAK;SunFast 3200;;;;;Pål Kragerud (Kongelig Norsk Seilforening
10;NOR-10629;SINBAD;Impala 31;;;;;Bjørn Hansen (Bærum Seilforening
11;NOR-12392;RAGNHILD;First 31.7;;;;;Edvard Aspelund (Bundefjorden Seilforening
12;NOR-5952;EXCITER;Scanmar 33;;;;;Oddvar Eide (Hurum Seilforening
13;NOR-13533;CRUELLA;Sun Fast 3200;;;;;Eira Naustvik (Asker Seilforening
14;NOR-12312;FADERNES BESLUTNING;makTEN;;;;;jan nic. langfeldt (Asker Seilforening

NOR Rating (NOR Rating Doublehanded fredag og lørdag) Stor
Plass;Seilnr;Båt;Båttype;Poeng;Fredag;Lørdag;
1;NOR-15036;KRAFTKAR;Elan 400S;;;;;Sigmund Andre Hertzberg (Oslofjorden Seilklubb
2;NOR-12510;BREEZIN;X 40;;;;;Morten Gaarud (Kongelig Norsk Seilforening
3;NOR-11541;JJ FLASH;J/109;;;;;Geir Inge Juriks (Kongelig Norsk Seilforening
4;NOR-15670;MIKA;JPK1080;;;;;HARALD WALDER (Bærum Seilforening
5;NOR-10133;XBOX;IMX 40;;;;;Fredrik Holm (Kongelig Norsk Seilforening
6;NOR-10576;FARROUT;Farr395;;;;;Petter Hegle (Holmestrand Seilforening
7;NOR-10240;FRITT FRAM!;First 40.7;;;;;Audun Gjøstein (Asker Seilforening
8;NOR-9779;JOKERMAN;X-50;;;;;Per Ottar Skaaret (Asker Seilforening
9;NOR-15283;FRAMTIA;XP-44;;;;;Kjetil Tørseth (Hurum Seilforening
10;NOR-11958;NO STRESS;Grand Soleil 37;;;;;Andreas Hoel (Kongelig Norsk Seilforening
11;NOR-15839;GODEVENNER;Oceanis 51.1 First Line;;;;;Elling Rishoff (Asker Seilforening
12;NOR-13948;ORCA;MD35;;;;;Eirik Tenningen (Asker Seilforening
13;NOR-15743;THIRD SENTENCE;Sun Odyssey 45;;;;;Arnstein Hodne (Asker Seilforening

NOR Rating (NOR Rating lørdag) Liten
Plass;Seilnr;Båt;Båttype;Reell;Justert;Poeng;Lørdag;
1;NOR-306;MELGES 24/7 SAILING TEAM;Melges 24;3:40:10;3:37:48;1;1;Steinar Waler (Røyken Seilforening
2;NOR-10107;JOY IV;First 31.7;4:01:48;3:46:07;2;2;TROND GUNDERSEN (Asker Seilforening
3;NOR-190;SALACIA;Albin eXpress;4:26:54;3:47:22;3;3;Marius Bakke (Bundefjorden Seilforening
4;NOR-5975;BRUNHILDUR;X-79;4:16:17;3:51:02;4;4;Sindre Bakke (Bundefjorden Seilforening
5;NOR-10580;STAKKATO;First 27.7;4:15:25;3:53:13;5;5;Eirik Nordli (Bundefjorden Seilforening
6;NOR-694;CHIX'EN;Express;4:34:40;3:53:59;6;6;Hedda Roll (Asker Seilforening
7;NOR-14710;LIVLIG;Jeanneau Sun Odessey 30i;4:40:37;4:01:38;7;7;John Harald Henriksen (Bærum Seilforening
