Doublehanded (DH1)
1;NOR-10203;Yngve LØNMO;HURU;J/92;Jakobine
2;NOR-8520;Sigvart SCHØNING-OLSEN;TØSF;FARR 31;Farracuda
3;NOR-10180;Morten LYCKE;BÆRU;FIRST 36.7;Lucky Lady II
4;NOR-12555;Tom SØMBORG;KNS;X-37;GØY
5;NOR-12392;Edvard ASPELUND;BUND;First 31.7 LR;Ragnhild
6;NOR-5975;Sindre BAKKE;BUND;X-79;Brunhildur
7;NOR-13724;Christian STENSHOLT;FROG;Pogo 850;Vindtora
8;NOR-16138;Joakim NÆRØ;ASKR;Diva 34 SC;Wolpertinger
9;NOR-12075;Terje CHRISTOFFERSEN;BREV;Elan 340;Allegro
10;NOR-14220;Arne BRATLIE;HURU;First 31.7 LR;Track
11;NOR-11351;Henning GUNDERSEN;KNS;X-37;Ariel
12;NOR-10083;Stian HENRIKSEN;ASKR;J/92;Jerry
13;NOR-10055;Ronny PETTERSEN;HORT;FIRST 36.7;MY first
14;NOR-11348;Rune Myhre FARTUM;HURU;First 31.7;ChriMar
15;NOR-12119;Bjørn BØRRESEN;BÆRU;HR 43;LUPI

Doublehanded (DH2)
1;NOR-30048;Sigmund Andre HERTZBERG;TØSF;DEHLER 30 OD;Hyrrokkin
2;NOR-33002;Lars MOE-HELGESEN;DSSF;Sun Fast 3300;Pretty Fast
3;NOR-12122;Anders HVERVEN;MOSS;Elan 410;Machbuster
4;NOR-16085;Kristian NOTTO;KNS;Elan S5;Surfin Lady
5;NOR-15036;Nikolai HALLE;ASKR;Elan 400;Careen
6;NOR-15393;Erik LAWSON;FROG;Sun Fast 3200;Redline
7;NOR-13063;Ole AABEL;ASKR;Farr 30;Wii 2
8;NOR-16220;Andreas TINGLUM;FROG;Figaro 2;Tetraktys
9;NOR-15938;Per-Ola BAALERUD;KNS;SunFast 3300;Solitude
10;NOR-33004;Ole-Petter LAKSHOLM;SOON;Sun Fast 3300;Popcorn
11;NOR-33003;Bjarne BIRKELAND;BÆRU;Sun Fast 3300;Sparrow
12;NOR-13002;Rune WERNER;HOLM;GRAND SOLEIL 40 R;Frøken Lehmkuhl
13;NOR-9781;Thor Erik KARLSEN;HORT;FIRST 40.7;Lykke
14;NOR-12057;Morten WESTBERG;KNS;Grand Soleil 37 B&;Time Bandit
15;NOR-15415;Pål Sture SKOGFELT;KNS;First 40 CR;Cest nous
16;NOR-157;Christian Skogheim MADSEN;TØSF;X-35;Hexagon

Flerskrog
1;NOR-242M;Odd Marius ROSVOLD;VIFL;TRT 1200;Vaaghals
2;NOR-337;Jan-Kristian VEDELER;TØSF;Dragon;SJAMAN
3;NOR-296M;Johan HANSTEEN;HOLM;TC 1075;KATLA
4;NOR-320M;Øyvind DEGNES;NESO;Dragonfly 32;Ruffen

NOR-Rating (NOR-R1)
1;NOR-14784;Andreas ABILDGAARD;ULLE;Elan 310 2.15;Kårstua
2;NOR-13372;Ole Fredrik MELLEBY;ASKR;First 31.7;Sana
3;NOR-568;Kim LARSEN;TØSF;J/80;JIPPI
4;NOR-13946;Christian TOVERUD;BUND;Salona 34;Just 4 Fun
5;NOR-10579;Svein Arild NILSEN;FRED;X-332;Exita
6;NOR-11110;Wolfgang EICHSTETTER;ASKR;Krohn 97/Vision 32;Lupona
7;NOR-759;Marius BAKKE;BUND;EXPRESS;Salacia
8;NOR-9322;Kjell ELLILA;TØSF;FIRST 31.7 LR;Tarzan
9;NOR-9775;Jonas SMITT-AMUNDSEN;KNS;FIRST 31.7 LR;Bilbo
10;NOR-3571;Birger SEVALDSON;TØSF;X-102 Mk I;Don Quixote
11;NOR-5052;Haakon RUI;HOLM;ALBIN NOVA;Brisen II
12;NOR-12312;Jan Nicolay LANGFELDT;ASKR;makTEN;Faderens Beslutning
13;NOR-14688;Gunnar ARVESCHOUG;TØSF;First 30 10-;Navasana
14;NOR-11718;Lene RAVNEVAND;SOON;Sun Fast 35;Fast Raven
15;NOR-9801;Stephen EDWARDSEN;GÅSØ;ELAN 333;Trigger

NOR-Rating (NOR-R2)
1;NOR-13920;Ragnar WISLØFF;ASKR;First 35 09-;Smil
2;NOR-12575;Nils KAMFJORD;TØSF;X-34;Extase
3;NOR-7006;Tommy BERGMAN;ASKR;Finngulf 39;Luringen
4;NOR-16030;Claes ELIASSON;ASKR;BAVARIA C38;Spirit
5;NOR-15871;Ragnar Øyno JENSEN;BUND;Hanse 370;Snøløs
6;NOR-13882;Marius Frenvik ODBERG;LAVI;A 31;El Dragon III
7;NOR-10886;Christian GRIMSGAARD;FROG;J/92;Iggy
8;NOR-11843;Bjørn HANSEN;BÆRU;First 34.7;Sinbad 2
9;NOR-12183;Aleksander ØREN;TØSF;Bavaria 39 Cr;Cooling
