NOR Rating distanse, liten klasse
1;NOR-81;Kjell Clement LUDVIGSEN;Langbein;AREN;H-boat
2;NOR-0105;Stein THORSTENSEN;Rå Båt;KNS;H-Boat
3;NOR-70;Nils Stousland PARNEMANN;NiPa;ULLE;H-Boat
4;NOR-123;Guri Galtung KJÆSERUD;Humla;OSLO;H-Boat
5;NOR-10886;Christian GRIMSGAARD;Iggy;FROG;J/92
6;NOR-759;Marius BAKKE;Salacia;BUND;EXPRESS
7;NOR-11534;Stig ANDRESEN;Larsson;OPPE;DEHLER 34 DD
8;NOR-6938;Lars Christian BERGER;Havheksen;DSSF;MAXI 999
9;NOR-16;Fredrik UGELSTAD;nn;KNS;H-boat
10;NOR-10107;Trond GUNDERSEN;JOY IV;ASKR;FIRST 31.7 LR
11;NOR-15005;Erik BERG;Kismet jr.;OSLO;OMEGA 30
12;NOR-13946;Christian TOVERUD;Just 4 Fun;BUND;Salona 34

NOR Rating distanse, stor klasse
1;NOR-16104;John Harald HENRIKSEN;Livlig;BÆRU;Arcona 345
2;NOR-14109;Harald WETLESEN;Carpe Diem II;NESO;T-34
3;NOR-306;Steinar WALER;Team 24/7;RØYK;Melges 24
4;NOR-11735;Martin BORG;Trimar 2;BÆRU;Bavaria 42 Match
5;NOR-10240;Audun GJØSTEIN;Fritt Fram!;ASKR;FIRST 40.7
6;NOR-14570;Steinar JØRGENSEN;Marialene;DSSF;Elan 350
7;NOR-6375;Marius ANDRESEN;Molly;ÅSGÅ;Finn
8;NOR-12538;Eivind BAKKE;Masito;BUND;Hanse 430
9;NOR-15558;Johan MOWINCKEL;Pamina;FROG;Wauquiez Opium 39
10;NOR-320M;Øyvind DEGNES;Ruffen;NESO;Dragonfly32Supreme
11;NOR-15425;Bjørn DALEN;Marlin;BÆRU;Arcona 380
12;NOR-357M;Hans Ulrik GRÜNERT;Wingman;ASKR;Dragonfly25Sport

NOR Rating distanse doublehanded, liten klasse
1;NOR-12392;Edvard ASPELUND;Ragnhild;BUND;First 31.7 LR
2;NOR-10203;Yngve LØNMO;Jakobine;HURU;J/92
3;NOR-5975;Sindre BAKKE;Brunhildur;BUND;X-79
4;NOR-12488;Øyvind KNUDSEN;Lethe;MOSS;First 34.7
5;NOR-11817;Charlotta JONSSON;Yess;ASKR;First 31.7
6;NOR-9979;Peter HOLM;Ripstick;BÆRU;J/92
7;NOR-14990;Dag TØNDER;Mani;KNS;Bavaria 35 Match
8;NOR-9775;Jonas SMITT-AMUNDSEN;Bilbo;KNS;FIRST 31.7 LR
9;NOR-10044;Gunnar GUNDERSE;Wendigo 2;KNS;Dehler 36 JV
10;NOR-16030;Marianne KVALVIK;Spirit;ASKR;BAVARIA C38
11;NOR-10701;Geir KRISTENSEN;Out Of Office;ASKR;FIRST 36.7
12;NOR-12057;Morten WESTBERG;Time Bandit;KNS;Grand Soleil 37 B&
13;NOR-16124;Erik LARSEN;Cinderella;BÆRU;Dufour 390

NOR Rating distanse doublehanded, stor klasse
1;NOR-30048;Sigmund Andre HERTZBERG;Hyrrokkin;TØSF;DEHLER 30 OD
2;NOR-13063;Bente VIKENES;Wii 2;ASKR;Farr 30
3;NOR-14438;Harald KLÆBOE;Momentum;DSSF;Elan 350
4;NOR-33002;Lars MOE-HELGESEN;Pretty Fast;DSSF;Sun Fast 3300
5;NOR-16220;Kristian JERPETJØN;Tetraktys;NESO;Figaro 2
6;NOR-33004;Ole-Petter LAKSHOLM;Popcorn;SOON;Sun Fast 3300
7;NOR-33003;Bjarne BIRKELAND;Sparrow;BÆRU;Sun Fast 3300
8;NOR-15788;Marius LØKEN;Off Course;RØYK;Dehler 44
9;NOR-25;Erling Moen SYNNES;RAFT;KNS;Fareast 28R
10;NOR-13948;Eirik TENNINGEN;Orca;ASKR;MD 35
11;NOR-15443;Jan SYLTE;Tia;DSSF;Arcona 410
12;NOR-13335;Ole Gunnar TVEITEN;Hyggen;ASKR;Hanse 430 E

NOR Rating distanse singlehanded
1;NOR-5957;Peter KELLER;Sirocco;KNS;Optima 101
2;NOR-13533;Eira NAUSTVIK;Cruella deVil;KNS;Sun fast 3200
3;NOR-33005;Frode TOBIASSON;Argo VIII;BUND;SunFast 3300

NM ORCi, liten klasse
1;NOR-10185;Jan Petter RØD;Fri av fjærholmen;TØSF;DEHLER 36 JV
2;NOR-21;Bjørn VADHOLM;Barcarole opus IV;KNS;X-35 OD
3;NOR-13920;Ragnar WISLØFF;Smil;ASKR;First 35
4;NOR-14073;Silje WITH;Bloom;ASKR;X-34
5;NOR-487;Aron HEIMONEN;Hotshot;BUND;Melges 32
6;NOR-202;Martin MOE;Vortex;KNS;X-35
7;NOR-15670;Harald WALDER;Mika;BÆRU;JPK 10.80
8;NOR-13372;Ole Fredrik MELLEBY;Sana;ASKR;First 31.7
9;NOR-10180;Morten LYCKE;LUCKY LADY II;BÆRU;First 36.7
10;NOR-11220;Morten SOLLERUD;Saevitia;ASKR;Bavaria 35 match
11;NOR-026;Marius ANDERSEN;PAKALOLO II;FROG;FARR 30
12;NOR-151;Jan Petter HÅKONSEN;Greenpeas;BÆRU;11:Metre
13;NOR-88;Yngve AMUNDSEN;Akhillevs-X;ULLE;X-35 OD
14;NOR-804;Morten Ebbell HESTNES;Kuling;BUND;Melges 24
15;NOR-22;Pål-André KJØNIKSEN;Phoenix;MOSS;X-35 OD
16;NOR-14628;Tormod S PETERSEN;Vindfang;NESO;HP 1030

NM ORCi, stor klasse
1;NOR-12243;Calle ANDERSEN;GAME;ASKR;Landmark 43
2;NOR-15666;Jon Sverre HOIDEN;Sons of Hurricanes;BUND;Sinergia 40
3;NOR-66;Sigurd TVEIT;Xanadu;KNS;X-41 mod
4;NOR-5019;Henrik TERJESEN;Proxflyer;ASKR;ClubSwan 50
5;NOR-16080;Henrik TANGEN;Ibb;BREV;arcona 385
6;NOR-13540;Aasmund DROLSUM;Magic;BUND;King 40
7;SWE-1220;Ola SANDELL;Karukera;CSS;MAT 1220
8;NOR-12545;Thomas ROBBERSTAD;Zorro;STAV;SWAN 45
9;NOR-40;Gustav GOTTEBERG;Gottix;KNS;X-41
10;NOR-15711;Ole Birger GIÆVER;UNO SISS;TRHJ;Soto 40
11;NOR-4444;Hans WANG;Kjappfot;KNS;X-40 Dyp kjøl
12;NOR-11172;Kenneth BJØRKLUND;Tango II;NESO;Grand Soleil 42 R
13;NOR-13853;Kristin NESHEIM;philoXenia;KNS;IMX 45
