DH liten klasse
1;NOR-10203;Yngve LØNMO;HURU;J/92;Jakobine
2;NOR-14990;Dag TØNDER;KNS;Bavaria 35 Match;Mani
3;NOR-12784;Ragnar ANDREASSEN;BUND;Arcona 370;Bris
4;NOR-5975;Sindre BAKKE;BUND;X-79;Brunhildur
5;NOR-11817;Charlotta JONSSON;ASKR;First 31.7;Yess
6;NOR-12392;Edvard ASPELUND;BUND;First 31.7 LR;Ragnhild
7;NOR-10129;Bjørn Erik SØDAL;CSSF;X-332;Tjangs
8;NOR-759;Marius BAKKE;BUND;EXPRESS;Salacia
9;NOR-15735;John MOEN;ASKR;Dehler;Merlin II
10;NOR-10083;Stian HENRIKSEN;ASKR;J/92;Jerry

DH stor klasse
1;NOR-30048;Sigmund Andre HERTZBERG;TØSF;Dehler 30;Hyrrokkin
2;NOR-13063;Ole AABEL;ASKR;Farr 30;Wii 2
3;NOR-14760;Håkon HJORTHØY;ASKR;Grand Soleil 43 BC;Illuminati
4;NOR-16220;Kristian JERPETJØN;NESO;Figaro 2;Tetraktys
5;NOR-15670;Harald WALDER;BÆRU;JPK 10.80;Mika
6;NOR-10954;Carl Hjalmar KNAP;ASKR;Bavaria 38 Match;PuraVida
7;NOR-026;Marius ANDERSEN;FROG;Farr 30;Pakalolo II
8;NOR-13948;Eirik TENNINGEN;ASKR;MD 35;Orca
9;NOR-12057;Morten WESTBERG;KNS;Grand Soleil 37 B&;Time Bandit
10;NOR-16028;Geir MELBY;ASKR;Dehler 38 2013;Blå

Full crew
1;NOR-306;Steinar WALER;RØYK;Melges 24;Team 24/7
2;NOR-759;Marius BAKKE;BUND;EXPRESS;Salacia
3;NOR-12243;Calle ANDERSEN;ASKR;Landmark 43;GAME
4;NOR-14887;Stefan MIDTEIDE;KNS;J109;Jubel
5;NOR-11220;Morten SOLLERUD;ASKR;Bavaria 35 match;Saevitia
6;NOR-026;Marius ANDERSEN;FROG;Farr 30;Pakalolo II
7;NOR-10240;Audun GJØSTEIN;ASKR;FIRST 40.7;Fritt Fram!
8;NOR-11649;Siri SORTEBERG;ASKR;First 31.7;Sirene
9;NOR-15425;Bjørn DALEN;BÆRU;Arcona 380;Marlin
10;NOR-12312;Jan Nicolay LANGFELDT;ASKR;makTEN;FADERENS BESLUTNING

SH
1;NOR-26;Tore KANDAHL;ASKR;Fareast 28R;Destin
2;NOR-11110;Wolfgang EICHSTETTER;ASKR;Krohn 97/Vision 32;Lupona
3;NOR-10576;Petter HEGLE;HOLM;FARR 395;FARRout
4;NOR-13335;Ole Gunnar TVEITEN;ASKR;Hanse 430 E;Hyggen
5;NOR-11285;Frank SANDBERG;KNS;Sun Fast 35;Tusså
6;NOR-10701;Geir KRISTENSEN;ASKR;FIRST 36.7;Out Of Office
7;NOR-13533;Eira NAUSTVIK;KNS;Sun fast 3200;Cruella deVil
8;NOR-33005;Frode TOBIASSON;BUND;SunFast 3300;Argo VIII
9;NOR-12105;Terje SORTEBERG;KNS;FIRST 40.7;Saaga
10;NOR-10240;Audun GJØSTEIN;ASKR;FIRST 40.7;Fritt Fram!
