Nor Rating/ Nor Rating shorthanded
1;NOR-804;Morten Ebbell HESTNES;BUND;kuling;MELGES 24 OD
2;NOR-15666;Jon Sverre HOIDEN;BUND;Sons of Hurricanes;Sinergia 40
3;NOR-11172;Bjørn SALTVIK;--;Tango II;Grand Soleil 42 R
4;NOR-49070;Marius BAKKE;BUND;Psycho;Sinergia 40 IMS
5;NOR-9002;Tilo PFLEGER;OSLO;Aalto;LUFFE 40 MH

J/70
1;NOR-998;Sjur IDSØE;OSLO;Brisen;J/70
2;NOR-1543;Sivert Bach GUDIM;--;Liquid Assets;J/70

Albin Express
1;NOR-941;Birgitte BAUCK;OSLO;Expresley;Express
2;NOR-688;Stefan MIDTEIDE;OSLO;Valborg;Express
3;NOR-1088;Jon Bjarne LAND;OSLO;lucky strike;Express
