NOR-Rating inkludert DH
1;NOR-306;Steinar WALER;Team 24/7;RØYK;MELGES 24 OD
2;NOR-950;Lars Bendik LARSEN;Expenser;BUND;EXPRESS
3;NOR-49070;Marius BAKKE;Psycho;BUND;Sinergia 40 IMS
4;NOR-70;Ludvig KARLIN;Shenlong;BUND;Fareast 28R
5;NOR-15461;Edvard ASPELUND;Ms. Mellett;BUND;Sun Fast 3600
6;NOR-26;Tore KANDAHL;Destin;ASKR;Fareast 28R
7;NOR-15871;Ragnar Øyno JENSEN;Snøløs;BUND;Hanse 370
8;NOR-11213;Arne ISAKSEN;Xanthippe III;BUND;Hanse 371
9;NOR-14793;Anne-Grethe STAIB;Råtass;BUND;Hanse 430
10;NOR-16120;Ullrich MENDE;karikveite;OSLO;J/99
