Flerskrog
1;NOR-242M;Odd Marius ROSVOLD;Vaaghals;VIFL;TRT 1200;1.311;;;;;;
2;NOR-337;Jan-Kristian VEDELER;SJAMAN;TØSF;Dragon;1.221;;;;;;
3;NOR-320M;Øyvind DEGNES;Ruffen;NESO;Dragonfly32Supreme;1.231;;;;;;
4;NOR-283M;Petter M MOWINCKEL;Maggy VII;KNS;Fusion 40;1;;;;;;

Racing med spinnaker 1
1;NOR-16320;Theodor KRISTENSEN;Pandora;MOSS;Maxi 909;
2;NOR-3951;Ingrid FLADMARK;Fryd V;FROG;Albin Nova;
3;NOR-7558;Marius OLSEN;Daddys Dream;--;FIRST 235;
4;NOR-11110;Wolfgang EICHSTETTER;Lupona;ASKR;Krohn 97/Vision 32;
5;NOR-6490;Jørn PEDERSEN;Nena;BUND;APHRODITE 101;
6;NOR-4753;Lars Rune HARTVEIT;Miria;BÆRU;UFO 31;
7;NOR-5718;Lars Helge HATLEVIK;Dont Panic;GJØV;HERO 70 MINITON;
8;NOR-3410;Adrian VEDER;KING for ONE day;MOSS;1/2 TON;
9;NOR-10397;Per PERSSON;Costanoc;BÆRU;Bavaria 32 AC 01-05;
10;NOR-2682;Tor Bjørn HANSEN;Priscilla;AREN;BAKKE 26;
11;NOR-5105;Susanne KAUN;EIR;NESO;ALBIN DELTA;
12;NOR-13944;Poul MIKKELSEN;Jutlandia II;BÆRU;Oceanis 323;

Racing med spinnaker 2
1;NOR-608;Per BØYMO;Helene;BUND;J/80;
2;NOR-13372;Ole Fredrik MELLEBY;Sana;ASKR;First 31.7;
3;NOR-9775;Jonas SMITT-AMUNDSEN;Bilbo;KNS;FIRST 31.7 LR;
4;NOR-10750;Jon LIVERUD;Duppen;BÆRU;ELAN 31;
5;NOR-10417;Bård JERVAN;Mymlen;LAVI;Elan 333;
6;NOR-9763;Bjørn Eirik OLSEN;Wish;TØSF;First 31.7;
7;NOR-10886;Christian GRIMSGAARD;IGGY;FROG;J/92;
8;NOR-10107;Trond GUNDERSEN;JOY IV;ASKR;FIRST 31.7 LR;
9;NOR-02;Lasse GREIDUNG-STROHHAMMER;Aktiv mot kreft;KNS;J/80;
10;NOR-10776;Jon Håvard ASKELAND;Christina;TØSF;SUN FAST 36;
11;NOR-16212;Adrian HESSEL-RÜTTER;Dara;FROG;Dehler 34;
12;NOR-9322;Kjell ELLILA;Tarzan;TØSF;FIRST 31.7 LR;
13;NOR-9801;Stephen EDWARDSEN;Trigger;GÅSØ;ELAN 333;
14;NOR-16362;Mathias TAKSDAL;Tumult 2;BÆRU;Wasa 30;
15;NOR-9666;Terje HELLEVE;Sol;DRAM;First 31.7;
16;NOR-11882;Paul HOLST;Kong Neptun;KNS;Bavaria 36 CR 01-0;
17;NOR-15366;Erik FOSS;Mickan III;FROG;First 31.7;
18;NOR-12093;Mariann NORNES;Ami;OPPE;First 31.7 LR;
19;NOR-3288;Kjell-Gunnar BRAATHEN;Angelique;MOSS;A 31;19.0

Racing med spinnaker 4
1;NOR-12575;Nils KAMFJORD;Extase;TØSF;X-34;
2;NOR-14037;Tobias BRODTKORB;Slappa 3;HOLM;X-34;
3;NOR-7006;Tommy BERGMAN;Luringen;ASKR;Finngulf 39;
4;NOR-14869;Håkon SØREBØ;SteamFlyer;ÅSGÅ;First 34.7;
5;NOR-12488;Øyvind KNUDSEN;Lethe;MOSS;First 34.7;
6;NOR-10482;Gunnar HOGSRØD;SHADOWFAX;GÅSØ;FIRST 36.7 CR;
7;NOR-10185;Jan Petter RØD;Fri av fjærholmen;TØSF;DEHLER 36 JV;
8;NOR-14990;Dag TØNDER;Mani;KNS;Bavaria 35 Match;
9;NOR-12494;Gaute STAKSTON;Melody;SASF;Bavaria 38 Cr 02-0;
10;NOR-13920;Ragnar WISLØFF;Smil;ASKR;First 35 09-;
11;NOR-11220;Morten SOLLERUD;Saevitia;ASKR;Bavaria 35 match;
12;NOR-10355;Daniel INGEBRETSEN;Serendipity;HURU;FIRST 36.7;
13;NOR-14865;Ove Megrund BARTHO;Bertha 2.0;TØSF;ELAN 37;
14;NOR-11197;Henning CARLSEN;Mulen;BÆRU;FIRST 36.7;
15;NOR-15774;Alexander THØGERSEN;J-Force;;J/88;
16;NOR-10180;Morten LYCKE;Lucky Lady II;BÆRU;FIRST 36.7;
17;NOR-16138;Joakim NÆRØ;Wolpertinger;ASKR;Diva 34 SC;
18;NOR-14109;Petter ALBREKTSEN;Coyote;BÆRU;T-34;
19;NOR-14438;Harald KLÆBOE;Momentum;DSSF;Elan 350;
20;NOR-10779;Steinar THON;Hermine II;TØSF;Elan 37 dyp kjøl;
21;NOR-15333;Aksel ANDREASSEN;toXifia;HOLM;Xp-33;
22;NOR-2;Anders HYLEN KLIPPENBERG;Maverix;KNS;X-35;
23;NOR-16104;John Harald HENRIKSEN;Livlig;BÆRU;Arcona 345;
24;NOR-88;Yngve AMUNDSEN;Akhillevs-X;ULLE;X-35;
25;NOR-12014;Peter T M BRANDT;CoCo Jr;KNS;J/109;
26;NOR-178;Stein THORSTENSEN;Asterix;KNS;X-35;
27;NOR-191;Kristin NESHEIM;BellatriX;KNS;X-35;
28;NOR-15986;Jon RYSST;Aurora;BÆRU;Neo 350;
29;NOR-16230;Per Eugen KRISTIANSEN;Meaning of life;KNS;RM970+;
30;NOR-026;Marius ANDERSEN;Pakalolo II;FROG;Farr 30;
31;NOR-11;Erik WELIN-LARSEN;Farrari;BREV;FARR 30;
32;NOR-9100;Nils BØE;Tellus;GAND;BASHFORD 36;
33;NOR-487;Sindre AARNÆS;Hotshot;BUND;Melges 32;33.0

Racing med spinnaker 5
1;NOR-10001;Thorstein TØNNESSON;Margrethe;MOSS;X-41;
2;NOR-10740;Snorre Strand ANDERSEN;Kuling;BÆRU;Elan 40 dyp kjøl;
3;NOR-9256;Karl-Einar JENSEN;Detox;MOSS;X-412;
4;NOR-11733;Pål SALTVEDT;Jonna;FROG;Elan 40;
5;NOR-13892;Frode BRATTUM;Fri;ASKR;Dehler 39 SQ;
6;NOR-16364;David KRISTIANSLUND;Konstanse;MOSS;Hanse 370;
7;NOR-16450;Mikkel VISLIE;Lillesøs;KNS;X4^0;
8;NOR-15039;Hans-Christian GRANDE;FORZA;MOSS;Grand Soleil 39;
9;NOR-16080;Henrik TANGEN;Ibb;BREV;arcona 385;
10;NOR-14144;Emil FORSLUND;Gammal Moro;NESO;Kracer 40;
11;NOR-15125;Eivind CARLSEN;Lynx;FRED;XP-38;
12;NOR-13705;Steinar STEFANUSSEN;SY Spray;KNS;FIRST 40.7 grunn k;
13;NOR-12221;Andreas S T BRUNVOLL;Milliways;BÆRU;Seaquest 36;
14;NOR-8311;Sven Arne KNUDSEN;Xenia;LILE;X-412;
15;NOR-9002;Tilo PFLEGER;Aalto;OSLO;LUFFE 40 MH;

Racing med spinnaker 6
1;NOR-14760;Håkon HJORTHØY;Illuminati;ASKR;Grand Soleil 43 BC;
2;NOR-15666;Jon Sverre HOIDEN;Sons of Hurricanes;BUND;Sinergia 40;
3;NOR-12538;Eivind BAKKE;Masito;BUND;Hanse 430;
4;NOR-17000;Anders Christian WILHELMSEN;Fifty Fifty;KNS;XR-41;
5;NOR-38;Richard KARLSEN;BarX;KNS;X-41;
6;NOR-10140;Arne HAMMERSLAND;DILL;BÆRU;IMX 40;
7;NOR-15410;Einar Unhjem JOHANSEN;Blanke Arc ^2;ASKR;Arcona 410;
8;NOR-4444;Hans WANG;Kjappfot;KNS;X-40 Dyp kjøl;
9;NOR-39;Halvard HEDEMARK;SailLogic;KNS;X-41;
10;NOR-40;Gustav GOTTEBERG;Gottix;KNS;X-41;
11;SWE-700;Bengt FALKENBERG;Albatross Magic;GKSS;King 40;
12;NOR-12042;Christian HALL;Bjørnstjerne;KNS;X-43;
13;NOR-49070;Marius BAKKE;Psycho;BUND;Sinergia 40 IMS;
14;NOR-66;Sigurd TVEIT;Xanadu;KNS;X-41;
15;NOR-11735;Martin BORG;Trimar 2;BÆRU;Bavaria 42 Match;
16;NOR-5859;Lars-Petter TRAA;Idefix;ASKR;IMX 40;
17;NOR-13697;Erik KRISTER;Flash V;SASF;First 40;
18;NOR-11172;Bjørn SALTVIK;Tango II;FROG;Grand Soleil 42 R;
19;SWE-8790;Per ASP;CarbonCave;NESO;ILC 40;19.0

Racing med spinnaker 7
1;NOR-11189;Henning HANSEN;piXeline;DRAM;X-442 Mk I;
2;NOR-10442;Per AASERUD;Windmachine;KNS;X-442 Mk II;
3;NOR-11796;Henning ESKELAND;Kunna II;BÆRU;X-46;
4;NOR-12243;Calle ANDERSEN;GAME;ASKR;Landmark 43;
5;NOR-12430;Erik Virik FUSDAHL;Vanja;TØSF;Arcona 430;
6;NOR-14202;Anders GJESDAL;Fri Flyt;STAV;First 44.7;
7;SWE-3617;Juan Carlos OLIVA;MINI RAVENGER;;CLUB SWAN 36;
8;NOR-15283;Stein Erik ØVSTETUN;Foxy Lady;TØSF;XP-44;
9;NOR-16440;Vegard HEGGEM;Roccabella;BREV;XP44;
10;NOR-15159;Øystein MISJE;Karma Police;HOLM;Shaw 9;
11;NOR-12545;Thomas ROBBERSTAD;Zorro;STAV;Swan 45;
12;NOR-9779;Per Ottar SKAARET;Jokerman;ASKR;X-50;
13;NOR-16600;Knut NYGAARD;Virginia;STAV;ClubSwan 42;
14;NOR-15811;Andreas JANSEN;Yani;KNS;Marten 49;
15;NOR-9131;Øyvind BANGSUND;Overload;BUND;Elliott 9SS;

Sportsbåt
1;NOR-151;Pål FIVE;Greenpeas;KNS;11:Metre
;NOR-306;Steinar WALER;Team 24/7;RØYK;MELGES 24 OD
2;NOR-05;Ottar BUE;j70 ÅSGÅ;ÅSGÅ;J/70
3;NOR-1532;Marie Jacobsen LEPPERØD;j70 TØSF;TØSF;J/70
4;NOR-0191;Erlend MUNKEBY;WaterGate;KNS;11 Metre
5;NOR-161;Arthur ERIKSEN;YNGREBØLGEN;DSSF;11:Metre
6;NOR-317;Johnny HJERPSETH;The White Rabbit;RØYK;11:Metre
7;NOR-179;Aage ANDERSEN;Vill Vakker Vat;KNS;11:Metre
8;NOR-26;Tore KANDAHL;Destin;ASKR;Fareast 28R
9;NOR-1+;Henrik Birkeland WESTBY;Kiddoes;KNS;J/70
10;NOR-70;Ludvig KARLIN;Shenlong;BUND;Fareast 28R
11;NOR-1572;Idan SHUBIN;Right to Play;KNS;J/80
12;NOR-036;Tomasz KAPELLA;NOR 36;BÆRU;Fareast 28R
13;NOR-15689;Anne Marie ENGER;Brutus;KNS;Seascape 24

Racing uten spinnaker
1;NOR-12111;Eirik BJARGO;Cebina;BÆRU;GRAND SOLEIL 40 C;
2;NOR-15565;Finn Erik BJERKE;Que Vadix V;DRAM;X4^3;
3;NOR-11310;Håvar HAUG;Matchine;BÆRU;Bavaria 35 Match;
4;NOR-10777;May-Linn HOVIND;Streif;FRED;CB 365;
5;NOR-9390;Kjetil ANDRESEN;Too Much;HVAL;DEHLER 41 Cr;

Doublehanded 1
1;NOR-13541;Ulrik SANDVIG;Saga;BÆRU;First 31.7
2;NOR-13918;Arne BRATLIE;Malolo;HURU;Sun Fast 37
3;NOR-16251;Kjetil TØRSETH;IYLO;HURU;Italia 9.98
4;NOR-11843;Bjørn HANSEN;Sinbad 2;BÆRU;First 34.7
5;NOR-25;Erling Moen SYNNES;RAFT;KNS;Fareast 28R
6;NOR-11123;Katrine KIERULF;Aimee;ASKR;Dufour 34 Performa
7;NOR-5952;Oddvar EIDE;Exciter;HURU;SCANMAR 33
8;NOR-10203;Kaja Bjønnes di LEO;Jakobine;BUND;J/92
9;NOR-11817;Charlotta JONSSON;Yess;ASKR;First 31.7
10;NOR-14035;Knut SELLIKEN;Selan;DSSF;Elan 310
11;NOR-14784;Geir KRISTENSEN;Out of office;ASKR;Elan 310 2.15
12;NOR-10580;Eirik NORDLI;STAKKATO;BUND;FIRST 27.7
13;NOR-13724;Christian STENSHOLT;Vindtora;FROG;Pogo 850
14;NOR-11348;Rune Myhre FARTUM;ChriMar;HURU;FIRST 31.7 LR
15;NOR-6561;Bjørn NESTORE-BØRRESEN;TLALOCAN;BÆRU;FEELING 850 CLUB
16;NOR-8399;Ståle LIDSHEIM;Fcen;NESO;FIRST CLASS 8
17;NOR-040;Bjarne BØRRESEN;X-tra;FROG;X-99

Doublehanded 2
1;NOR-5;Steffen SKJØNBERG;Sophiee;BÆRU;Sun Fast 3200
2;NOR-15413;Werner ERIKSEN;Drømmefanger'n;DSSF;Dehler 38 13-
3;NOR-15393;Erik LAWSON;Redline;FROG;Sun Fast 3200
4;NOR-15461;Edvard ASPELUND;Ms. Mellett;BUND;Sun Fast 3600
5;NOR-15670;Harald WALDER;Mika;BÆRU;JPK 10.80
6;NOR-15788;Marius LØKEN;Off Course;RØYK;Dehler 44
7;NOR-33002;Lars MOE-HELGESEN;Pretty Fast;DSSF;Sun Fast 3300
8;NOR-30048;Sigmund Andre HERTZBERG;Hyrrokin;TØSF;Dehler 30
9;NOR-12122;Petter HEGLE;Elanique;HOLM;Elan 410
10;NOR-12471;Johan ANDERSEN;Flora;SOON;CB 365
11;NOR-11169;Christian Stentoft ØSTBY;Noomi II;KNS;X-40
12;NOR-36;Ole Christian Gahr VORDAHL;Still Crazy;KNS;X-41
13;NOR-33003;Bjarne BIRKELAND;Sparrow;BÆRU;Sun Fast 3300
14;NOR-16360;Ole Kenneth SØREIDE;First Try;TØSF;First 36
15;NOR-11541;Geir Inge JURIKS;JJFLASH;KNS;J/109
16;NOR-10576;Emil MOHOLTH;BesteFarr;TØSF;FARR 395

Singlehanded
1;NOR-15924;Christer LIE;Feelgood;BÆRU;Arcona 430
2;NOR-33005;Frode TOBIASSON;Argo VIII;BUND;SunFast 3300
3;NOR-12057;Morten WESTBERG;Time Bandit;KNS;Grand Soleil 37 B&C
4;NOR-14516;Peter SAHLSTRÖM;the Joker;KNS;J/120
5;NOR-16633;Erik BERG;Kismet d.y.;OSLO;Linjett 33

IF-Boat
1;NOR-220;Jan KOLBJØRNSEN;Kalebass;HURU;IF-Boat
2;NOR-128;Robert BAY;Madeleine;FROG;IF-Boat
3;NOR-165;Bjørnar BJØRGUM;DASBOOT;OSLO;IF-Boat
4;NOR-176;Bjørn ANDERSEN;Caprifol;OSLO;IF-Boat
5;NOR-187;Jon HOLM;Lille My;FROG;IF-Boat
6;NOR-211;Hilde THORESEN;Lydia;FROG;IF-Boat
7;NOR-222;Steinar MOLLAN;Bananas;ULLE;IF-Boat

Albin Express
1;NOR-1150;Trygve LEERGAARD;Hvergang;OSLO;Albin Express
2;NOR-2009;Bjørn Jarle TVEDT;Spinoff;OSLO;Albin Express
3;NOR-755;Jostein MAGNUSSEN;DNF4;OSLO;Albin Express
4;NOR-950;Lars-Jakob ALVEBERG;Expenser;KRAG;Albin Express
5;NOR-130;Ulrik STRØM;Abraxas;FRED;Albin Express
6;NOR-1007;Jessica BERGSTRAND;Expresso Martini;BUND;Albin Express
7;NOR-660;Inge ANUNDSKÅS;Roxanne;FROG;Albin Express
8;NOR-713;Henrik RUDSTRØM;Simsalabim;0;Albin Express
9;NOR-121;Emil WIIG;Brisen;OSLO;Albin Express
10;NOR-535;Jan Ole NORDFJORD;musestille;ULLE;Express
11;NOR-493;Axel PETERSON;--;KNS;Albin Express
12;NOR-011;Petter AMUNDSEN;Skiathos;BÆRU;Albin Express

Start Sarpsborg 1/2 Ton
1;IRL-2794;Alexander FERNER;Mata;FRED;Half ton one off Andrieu
2;NOR-19187;Børre DAHL;Lakrisa Viola IV;SARP;Halvton
3;NOR-4315;Joakim Nordtug HAUGEN;Odins Ravn;SARP;NESSY 94 GP
4;NOR-9974;Magne TØNNESEN;Cantippa;FRED;1/2 TON ONE OFF
5;NOR-6274;Espen BAKKERUD;Comeback Kid;SARP;Nessy 94 Racing
6;NOR-5674;Lene ULFENG;FoXy;FRED;X-95
7;NOR-4174;Theodor NYSTRØM;Halling;NTNUI-Seil;1/2 TON ONE OFF
