NOR Rating distanse
1;NOR-49070;Marius BAKKE;Psycho;BUND;Sinergia 40 IMS;;;;;;;;;;;
2;NOR-14438;Harald KLÆBOE;Momentum;DSSF;Elan 350;;;;;;;;;;;
3;NOR-13892;Frode BRATTUM;Fri;ASKR;Dehler 39 SQ;;;;;;;;;;;
4;NOR-10886;Christian GRIMSGAARD;IGGY;FROG;J/92;;;;;;;;;;;
5;NOR-10240;Audun GJØSTEIN;Fritt Fram!;ASKR;FIRST 40.7;;;;;;;;;;;
6;NOR-9002;Tilo PFLEGER;Aalto;OSLO;LUFFE 40 MH;;;;;;;;;;;
7;SWE-8790;Per ASP;CarbonCave;NESO;ILC 40;;;;;;;;;;;
8;NOR-15731;Kenneth BJØRKLUND;Enderpearl;HOLM;CNB 76;;;;;;;;;;;
9;NOR-191;Kristin NESHEIM;BellatriX;KNS;X-35;;;;;;;;;;;
10;NOR-14570;Steinar JØRGENSEN;Marialene;DSSF;Elan 350;;;;;;;;;;;
11;NOR-9131;Øyvind BANGSUND;Overload;BUND;Elliott 9SS;;;;;;;;;;;
12;NOR-11172;Bjørn SALTVIK;Tango II;FROG;Grand Soleil 42 R;;;;;;;;;;;

NOR Rating distanse doublehanded
1;NOR-153;Yngve LØNMO;Xanthe;HURU;X-35;;;;;;;;;;;
2;NOR-13372;Ole Fredrik MELLEBY;Sana;ASKR;First 31.7;;;;;;;;;;;
3;NOR-12057;Morten WESTBERG;Time Bandit;KNS;Grand Soleil 37 B&C;;;;;;;;;;;
4;NOR-25;Hans Kristian DANIELSEN;RAFT;BUND;Fareast 28R;;;;;;;;;;;
5;NOR-2121;Andreas TINGLUM;Aiolos;FROG;Figaro 2;;;;;;;;;;;
6;NOR-13063;Ole AABEL;Wii 2;ASKR;Farr 30;;;;;;;;;;;
7;NOR-33002;Lars MOE-HELGESEN;Pretty Fast;DSSF;Sun Fast 3300;;;;;;;;;;;
8;NOR-12538;Eivind BAKKE;Masito;BUND;Hanse 430;;;;;;;;;;;

Express
1;NOR-1088;Jon Bjarne LAND;lucky strike;OSLO;Albin Express
2;NOR-2009;Bjørn Jarle TVEDT;Spinoff;OSLO;Albin Express

NOR Rating bane
1;NOR-15666;Jon Sverre HOIDEN;Sons of Hurricanes;BUND;Sinergia 40;;;;;;;;;;;
2;NOR-026;Marius ANDERSEN;Pakalolo II;FROG;Farr 30;;;;;;;;;;;
3;NOR-10180;Morten LYCKE;Lucky Lady II;BÆRU;FIRST 36.7;;;;;;;;;;;
4;NOR-11;Erik WELIN-LARSEN;Farrari;BREV;Farr 30;;;;;;;;;;;
