Doublehanded liten klasse
1;NOR-12488;Øyvind KNUDSEN;MOSS;First 34.7;Lethe;;;;;;;
2;NOR-026;Marius ANDERSEN;FROG;Farr 30;Pakalolo II;;;;;;;
3;NOR-160;Anders G LARSSON;ASKR;11:Metre;Point 2 Point;;;;;;;
4;NOR-14109;Petter ALBREKTSEN;BÆRU;T-34;Coyote;;;;;;;
5;NOR-10355;Daniel INGEBRETSEN;HURU;FIRST 36.7;Serendipity;;;;;;;
6;NOR-10954;Carl Hjalmar KNAP;ASKR;Bavaria 38 Match;PuraVida;;;;;;;
7;NOR-13063;Ole AABEL;ASKR;Farr 30;Wii 2;;;;;;;
8;NOR-178;Stein THORSTENSEN;KNS;X-35;Asterix;;;;;;;
9;NOR-14990;Dag TØNDER;KNS;Bavaria 35 Match;Mani;;;;;;;
10;NOR-5952;Oddvar EIDE;HURU;SCANMAR 33;Exciter;;;;;;;
11;NOR-16251;Kjetil TØRSETH;HURU;Italia 9.98;IYLO;;;;;;;
12;NOR-11843;Bjørn HANSEN;BÆRU;First 34.7;Sinbad 2;;;;;;;
13;NOR-12784;Ragnar ANDREASSEN;BUND;Arcona 370;Bris;;;;;;;
14;NOR-14919;Øystein SKJØNBORG;ASKR;Faurby 396E;Minion;;;;;;;
15;NOR-16138;Joakim NÆRØ;ASKR;Diva 34 SC;Wolpertinger;;;;;;;
16;NOR-11541;Geir Inge JURIKS;KNS;J109;JJFLASH;;;;;;;
17;NOR-15735;John MOEN;ASKR;Dehler 34;Merlin II;;;;;;;

Doublehanded stor klasse
1;NOR-33002;Lars MOE-HELGESEN;DSSF;Sun Fast 3300;Pretty Fast;;;;;;;
2;NOR-15670;Harald WALDER;BÆRU;JPK 10.80;Mika;;;;;;;
3;NOR-14760;Håkon HJORTHØY;ASKR;Grand Soleil 43 BC;Illuminati;;;;;;;
4;NOR-30048;Sigmund Andre HERTZBERG;TØSF;Dehler 30;Hyrrokin;;;;;;;
5;NOR-12243;Calle ANDERSEN;ASKR;Landmark 43;GAME;;;;;;;
6;NOR-15461;Vegard ASPELUND;BUND;Sun Fast 3600;Ms. Mellett;;;;;;;
7;NOR-15443;Jan SYLTE;ASKR;Arcona 410;Tia;;;;;;;
8;NOR-25;Erling Moen SYNNES;KNS;Fareast 28R;RAFT;;;;;;;
9;NOR-16360;Ole Kenneth SØREIDE;TØSF;First 36;First Try;;;;;;;
10;NOR-33003;Bjarne BIRKELAND;BÆRU;Sun Fast 3300;Sparrow;;;;;;;
11;NOR-15411;Albert ROLL;ASKR;Fast 42;Fast Forward;;;;;;;

Full crew
1;NOR-17000;Tomas MATHISEN;RISØ;XR-41;Fifty Fifty;;;;;;;
2;NOR-10180;Morten LYCKE;BÆRU;FIRST 36.7;Lucky Lady II;;;;;;;
3;NOR-13920;Ragnar WISLØFF;ASKR;First 35 09-;Smil;;;;;;;
4;NOR-1;Silje WITH;ASKR;J-70 ONE DESIGN;Team Blue Iris;;;;;;;
5;NOR-11817;Charlotta JONSSON;ASKR;First 31.7;Yess;;;;;;;
6;NOR-88;Yngve AMUNDSEN;ULLE;X-35;Akhillevs-X;;;;;;;
7;NOR-49070;Marius BAKKE;BUND;Sinergia 40 IMS;Psycho;;;;;;;
8;NOR-11220;Morten SOLLERUD;ASKR;Bavaria 35 match;Saevitia;;;;;;;
9;NOR-306;Steinar WALER;RØYK;MELGES 24 OD;Team 24/7;;;;;;;
10;NOR-13892;Frode BRATTUM;ASKR;Dehler 39 SQ;Fri;;;;;;;
11;NOR-14415;Tore Glen BERG;ASKR;Elan 350;Green Magic;;;;;;;
12;NOR-26;Tore KANDAHL;ASKR;Fareast 28R;Destin;;;;;;;
13;NOR-11649;Siri SORTEBERG;ASKR;First 31.7;--;;;;;;;

Singlehanded
1;NOR-33004;Ole-Petter LAKSHOLM;SOON;Sun Fast 3300;Popcorn;;;;;;;
2;NOR-12057;Morten WESTBERG;KNS;Grand Soleil 37 B&C;Time Bandit;;;;;;;
3;NOR-11110;Wolfgang EICHSTETTER;ASKR;Krohn 97/Vision 32;Lupona;;;;;;;
4;NOR-14784;Geir KRISTENSEN;ASKR;Elan 310 2.15;Out of office;;;;;;;
5;NOR-5701;Geir DALENG;ASKR;Albin Alpha;Styrmor;;;;;;;
6;NOR-15689;Finn Jakob ENGER;ASKR;Seascape 24;Brutus;;;;;;;
7;NOR-6517;Bente VIKENES;ASKR;First 29;Mii&Friends;;;;;;;
8;NOR-14516;Peter SAHLSTRÖM;KNS;J/120;the Joker;;;;;;;
9;NOR-7006;Tommy BERGMAN;ASKR;Finngulf 39;Luringen;;;;;;;
10;NOR-33005;Frode TOBIASSON;BUND;SunFast 3300;Argo VIII;;;;;;;
