Doublehanded
1;NOR-153;XANTHE;Yngve Lønmo;HURU;X-35;;;;
2;NOR-14760;ILLUMINATI;Håkon Hjorthøy;ASKR;Grand Soleil 43B;;;;
3;NOR-25;RAFT;Hans Kristian Danielsen;BUND;Fareast 28r;;;;
4;NOR-12057;TIME BANDIT;Morten Westberg;KNS;Grand Soleil 37b;;;;
5;NOR-10125;IL TORO;jostein Weum;ASKR;Dehler;;;;
6;NOR-11348;CHRIMAR;Rune Myhre Fartum;HURU;Benetau First 31.7;;;;
7;NOR-5952;EXCITER;Oddvar Eide;HURU;Scanmar 33;;;;
8;NOR-14570;MARIALENE;Steinar Jørgensen;DSSF;Elan 350;;;;
9;NOR-3951;FRYD V;Ingrid Fladmark;FROG;Albin Nova;;;;
10;NOR-26;DESTIN;Tore Kandahl;ASKR;Fareast28r;;;;
11;NOR-13918;MALOLO;Arne Bratlie;HURU;Sun Fast 37;;;;
12;NOR-7027;THALINA;Endre Nordbø;HURU;Contrast 2;;;;

Fullt mannskap
1;NOR-10355;SERENDIPITY;Daniel Ingebretsen;HURU;First 36.7;;;;
