
<BR /><BR /><FONT COLOR='#ffffff'>Last updated: 2014-09-08 18:41:08</font><p><a href="?action=&regatta=1629&xls=1" target="_blank"><img src="http://www.seilmagasinet.no/gfx/Excel_Icon.jpg" valign="middle" align="center" width="20" border="0" /> Last ned CSV fil</a></p>Endelige resultater
NOR Rating <=0,974
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Poeng;Race 1
1;NOR-6807;Aphromann;Daniel Ingebretsen;;Hurum Seilforening;Aphrodite 101;0,874;1;1
2;NOR-10203;Jakobine;Yngve Lønmo;;Hurum Seilforening;J/92;0,9390;2;2
3;NOR-306;Melges 24/7 Sailing Team;Steinar Waler;;Røyken Seilforening;Melges 24;0,9730;3;3
4;NOR-9660;Andante;Terje Hall Torgersen;;Bundefjorden Seilforening;X-332;0,9510;4;4
5;NOR-12023;Suzie Serken;Øyvind Jelstad;;Drammens Seilforening;Sun Fast 36;0,9500;5;5
6;NOR-10629;Sinbad;Bjørn Hansen;;Bærum Seilforening;Impala 31;0,9010;6;6
7;NOR-5011;Aiolos;Arne Bratlie;;Hurum Seilforening;Comfortina 32;0,8740;7;7
8;NOR-11789;Siahgahay;DAG BJØRNSEN;;Nesodden Seilforening;sun fast 36;0,9520;8;8
9;NOR-4727;Kozakov;ARNE VALEN;;Hurum Seilforening;Impala 28;0,8530;9;9
10;NOR-5952;Exciter;Oddvar Eide;;Hurum Seilforening;Scanmar 33;0,8900;10;10
11;NOR-10990;Hårek;erik kverum;;Hurum Seilforening;First 31.7;0,9190;11;11
12;NOR-13922;Mango;Bernt Strand;;Asker Seilforening;Arcona 400;0,9600;12;12
13;NOR-13882;333 Half Evil;Bjørn William Lindgren;;Kongelig Norsk Seilforening;Archambault 31;0,9660;;DNF (14)
NOR Rating >=0,975
Plass;Seilnr;Båt;Skipper;;Forening;Båttype;HCP;Poeng;Race 1
1;NOR-11560;Next Christine;Terje Roaas;;Hurum Seilforening;X-37;0,9920;1;1
2;NOR-11405;Tempo;Joakim Bruksås;;Hurum Seilforening;First 36,7;0,9780;2;2
3;NOR-10544;Wildcard;Ole Aabel;;Soon Seilforening;J/V 44;1.1340;3;3
4;NOR-10240;Fritt Fram!;Audun Gjøstein;;Asker Seilforening;First 40.7;1,0250;4;4
5;NOR-14445;Flying Scotsman;Colin Campbell;;Hurum Seilforening;First 45;1,0990;5;5
6;NOR-14438;Momentum;Harald Klæboe;;Drøbaksund Seilforening;Elan 350;1,0250;6;6
7;NOR-14635;First Spirit;Trond Ørjan Olsen;;Soon Seilforening;First 40.7;1,0300;7;7
8;NOR-15159;Karma Police;Espen Fridtjof Hansen;;Holmestrand Seilforening;Shaw 9;1,1660;8;8
9;NOR-14488;REHAB;Pål Hernes;;Royal Malta Yacht Club;Archambault 40;1,060;9;9
10;NOR-11800;Vento;Ole Johan Kvan;;Drammens Seilforening;Grand Soleil 37;0,9940;10;10
11;NOR-10501;NEWCY BROWN II;John Øivind Saxebøl;;Drøbaksund Seilforening;Dufour 40;1,0110;11;11
12;NOR-10851;Framtia;Kjetil Tørseth;;Hurum Seilforening;Arcona 400;1,0120;12;12
13;NOR-14951;Arckaos;Kjell Petter Bruun;;Kongelig Norsk Seilforening;Arcona 410;1,0590;13;13
14;NOR-000000;Feelgood;Christer Lie;;Hurum Seilforening;Arcona 430;1,061;14;14
